# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:gr.fac. D             20:gr.fac. f          
       2.665472282691e+08       1.063863167448e-14       1.738859504258e-03       1.532889890504e+11       1.461294444409e+04       5.482309639518e-05       3.895039853034e+12       1.003930373632e-03       1.388915298813e+22       4.642319581451e+16       2.107080420048e+13       1.610885135517e-34       1.485974978400e+02       4.941601819663e+01       4.385135802907e-08       9.608083939988e+21       2.349751416410e+22       2.307917111858e+17       5.182994696083e-02       7.791328967578e-02 
       2.646943676502e+08       1.078809351697e-14       1.751031484673e-03       1.511652743965e+11       1.461294443191e+04       5.520685803189e-05       3.867964100527e+12       1.010957861084e-03       1.350696825632e+22       4.546179952653e+16       2.063444059846e+13       1.677992189293e-34       1.585470797042e+02       5.273048479731e+01       4.385135802907e-08       9.343700432445e+21       2.285094018336e+22       2.260121545324e+17       5.185811617865e-02       7.787098487602e-02 
       2.628543868967e+08       1.093965514268e-14       1.763288668371e-03       1.490709824070e+11       1.461294441966e+04       5.559330599952e-05       3.841076560798e+12       1.018034540595e-03       1.313530001667e+22       4.452031317367e+16       2.020711382247e+13       1.643241986642e-34       1.541868041099e+02       5.127872460808e+01       4.385135802907e-08       9.086591907005e+21       2.222215779578e+22       2.213315796038e+17       5.188628540285e-02       7.782872613551e-02 
       2.610271964761e+08       1.109334605132e-14       1.775631651981e-03       1.470057054500e+11       1.461294440731e+04       5.598245910237e-05       3.814375925515e+12       1.025160756503e-03       1.277385888921e+22       4.359832443322e+16       1.978863672532e+13       1.609211439650e-34       1.499464751278e+02       4.986692339306e+01       4.385135802907e-08       8.836558179607e+21       2.161067743487e+22       2.167479365484e+17       5.191445463346e-02       7.778651338024e-02 
       2.592127074785e+08       1.124919615705e-14       1.788061035768e-03       1.449690415413e+11       1.461294439488e+04       5.637433627640e-05       3.787860895444e+12       1.032336855559e-03       1.242236345677e+22       4.269542952142e+16       1.937882603551e+13       1.631012695579e-34       1.535407119372e+02       5.106459672609e+01       4.385135802907e-08       8.593404574609e+21       2.101602300540e+22       2.122592179658e+17       5.194262387054e-02       7.774434653635e-02 
       2.574108316120e+08       1.140723579430e-14       1.800577425456e-03       1.429605942655e+11       1.461294438237e+04       5.676895659009e-05       3.761530180378e+12       1.039563186941e-03       1.208054004587e+22       4.181123301666e+16       1.897750227699e+13       1.597235409795e-34       1.493181359979e+02       4.965869575555e+01       4.385135802907e-08       8.356941773215e+21       2.043773151275e+22       2.078634580278e+17       5.197079311413e-02       7.770222553016e-02 
       2.556214811983e+08       1.156749572366e-14       1.813181428588e-03       1.409799726996e+11       1.461294436976e+04       5.716633924541e-05       3.735382499081e+12       1.046840102268e-03       1.174812251365e+22       4.094534768625e+16       1.858448969056e+13       1.614854007726e-34       1.523160915195e+02       5.065775596617e+01       4.385135802907e-08       8.126985666074e+21       1.987535270239e+22       2.035587316169e+17       5.199896236430e-02       7.766015028816e-02 
       2.538445691689e+08       1.173000713786e-14       1.825873659982e-03       1.390267913365e+11       1.461294435707e+04       5.756650357874e-05       3.709416579223e+12       1.054167955623e-03       1.142485204065e+22       4.009739431684e+16       1.819961615688e+13       1.581411358577e-34       1.481271851945e+02       4.926305896817e+01       4.385135802907e-08       7.903357209929e+21       1.932844870933e+22       1.993431534841e+17       5.202713162108e-02       7.761812073701e-02 
       2.520800090602e+08       1.189480166788e-14       1.838654736275e-03       1.371006700100e+11       1.461294434429e+04       5.796946906183e-05       3.683631157318e+12       1.061547103567e-03       1.111047692928e+22       3.926700154838e+16       1.782271312109e+13       1.548661286447e-34       1.440535111792e+02       4.790675034564e+01       4.385135802907e-08       7.685882288218e+21       1.879659371720e+22       1.952148774224e+17       5.205530088453e-02       7.757613680351e-02 
       2.503277150099e+08       1.206191138905e-14       1.851525279562e-03       1.352012338209e+11       1.461294433142e+04       5.837525530271e-05       3.658024978664e+12       1.068977905157e-03       1.080475240785e+22       3.845380571147e+16       1.745361551900e+13       1.600952427411e-34       1.519217145804e+02       5.052795226610e+01       4.385135802907e-08       7.474391575503e+21       1.827937362670e+22       1.911720954589e+17       5.208347015470e-02       7.753419841465e-02 
